code,database,name,type,unit,cat_1,Exiobase name,Exiobase unit,Exiobase compartment
f0e28a62-ddf9-4c93-af81-676a58c3f2d4,biosphere3,Cobalt,emission,kilogram,air,,,
33627701-feca-434d-a192-674a450eaaf7,biosphere3,Cobalt,emission,kilogram,water,,,
1d013cac-a0ec-4c02-936c-053afe24f47f,biosphere3,Cobalt-57,emission,kilo Becquerel,air,,,
5967eadd-dc30-43a2-b195-edcc48350447,biosphere3,Cobalt-57,emission,kilo Becquerel,water,,,
70d0e8c8-8c46-4eee-ad05-92f05e8f129e,biosphere3,Cobalt-58,emission,kilo Becquerel,air,,,
4a838a42-fa78-4b0a-92f9-588a3660809b,biosphere3,Cobalt-58,emission,kilo Becquerel,water,,,
8d8e393e-39c4-44e1-b424-8eeefcd33560,biosphere3,Cobalt-60,emission,kilo Becquerel,water,,,
ab4a11c8-14f8-40f1-8c4e-888347bb2546,biosphere3,Cobalt-60,emission,kilo Becquerel,air,,,
961ccd56-2eee-4f57-bb18-fc4362b49000,biosphere3,"COD, Chemical Oxygen Demand",emission,kilogram,water,,,
44d3e792-7c9e-48ab-9de9-acfa2e097f26,biosphere3,Copper,emission,kilogram,soil,Cu,tonnes,soil
ec8144d6-d123-43b1-9c17-a295422a0498,biosphere3,Copper,emission,kilogram,air,Cu,tonnes,air
615b1460-6860-4cf6-8678-ad92c03c5e8b,biosphere3,"Copper, ion",emission,kilogram,water,,,
4b4530b5-89d5-4127-b8a5-96fc50972e26,biosphere3,Cu-HDO,emission,kilogram,water,,,
a192f5ac-fb5d-4e14-ac11-3c38283da9d0,biosphere3,Cumene,emission,kilogram,air,,,
7a3b6567-5f36-4142-b390-15fbf940e206,biosphere3,Cumene,emission,kilogram,water,,,
89ee008f-477e-4580-bd8e-8bf50fc9e080,biosphere3,Curium alpha,emission,kilo Becquerel,water,,,
7545531d-dfc2-446d-9d9b-a0a3dfaa25df,biosphere3,Curium alpha,emission,kilo Becquerel,air,,,
9dc200b0-6faa-4518-9787-be7db7a9e29a,biosphere3,Curium-242,emission,kilo Becquerel,air,,,
8c64a7e7-0f81-410f-a0df-cbea124dd203,biosphere3,Curium-244,emission,kilo Becquerel,air,,,
d3e038e1-728c-4dea-ac30-c9abbbfcbc84,biosphere3,Cyanide,emission,kilogram,air,,,
c4d10bd2-09da-4082-8cb3-022c92c53221,biosphere3,Cyanide,emission,kilogram,water,,,
8af6a281-8879-4945-b476-550612e50527,biosphere3,Cyanoacetic acid,emission,kilogram,air,,,
53a12896-8a5b-40b6-81ff-24379f17a050,biosphere3,Cyclohexane,emission,kilogram,water,,,
165aaeac-93d1-4afd-adf2-e3d6c0eaf629,biosphere3,Cyclohexane,emission,kilogram,air,,,
185d4f1e-6d28-551b-8951-672805c4d8e5,biosphere3,Decanoic acid,emission,kilogram,water,,,
23a4dfc7-c82e-4425-abf6-0195f78f3363,biosphere3,"Dibenz(a,h)anthracene",emission,kilogram,air,,,
57655806-a54e-47ca-a8d2-9881813b7afa,biosphere3,Diborane,emission,kilogram,air,,,
5ff293fa-85f0-4d44-b63b-00f651316fad,biosphere3,Diborane,emission,kilogram,water,,,
9547aff9-e1fc-5fad-a674-9b9a9fdb1c9c,biosphere3,Dichlorodimethylsilane,emission,kilogram,air,,,
3b8a6f65-384b-4086-a817-b0c77555b78a,biosphere3,Dichromate,emission,kilogram,water,,,
e898ea74-a3a1-5b26-a61e-384bffaf2bd6,biosphere3,Diethanolamine,emission,kilogram,water,,,
22524a35-32c0-482a-82f7-49724ad1c595,biosphere3,Diethyl ether,emission,kilogram,air,,,
7e241410-2dec-4320-baf0-cebc3b52e2ca,biosphere3,Diethylamine,emission,kilogram,water,,,
34698efa-71c8-4fec-9a43-6529f45887ac,biosphere3,Diethylamine,emission,kilogram,air,,,
ecc90a90-aec5-4ffc-88ba-e29a3e9884ac,biosphere3,Diethylene glycol,emission,kilogram,water,,,
af7f6412-a55f-4799-b7bc-a3f69d0cc8cb,biosphere3,Diethylene glycol,emission,kilogram,air,,,
dbe2e16b-e0f9-4743-914c-50c8b11682c8,biosphere3,Diisobutyl ketone,emission,kilogram,water,,,
d18838bc-54cd-5d6f-a8f3-9b94cfc8472d,biosphere3,Dimethyl carbonate,emission,kilogram,air,,,
acfeda73-2eee-4ca2-ad41-e8c564e75cec,biosphere3,Dimethyl ether,emission,kilogram,air,,,
d49e5257-e655-4e9f-adbc-b8763137b76c,biosphere3,Dimethyl ether,emission,kilogram,water,,,
